VESSEL;X_coord;Y_coord
V0;2546.87;210.0
V1;2116.87;210.0
V2;-1154.97;200.38
V3;1397.0;210.0
V4;1012.0;210.0
V5;1791.87;210.0
V6;2346.87;210.0
V7;2871.87;210.0
V8;-760.92;192.79
V9;2586.87;210.0
V10;3071.87;210.0
V11;2866.87;210.0
V12;2066.87;210.0
V13;-1019.9;197.78
V14;2281.87;210.0
V15;967.0;210.0
V16;-770.91;192.98
V17;1981.87;210.0
V18;3126.87;210.0
V19;-1075.31;198.84
V20;2871.87;210.0
V21;727.0;210.0
V22;1632.0;210.0
V23;2761.87;210.0
V24;1971.87;210.0
V25;2241.87;210.0
V26;1307.0;210.0
V27;2371.87;210.0
V28;-1015.34;197.69
V29;2831.87;210.0
V30;957.0;210.0
V31;-740.05;192.39
V32;2101.87;210.0
V33;1602.0;210.0
V34;1911.87;210.0
V35;2296.87;210.0
V36;-1139.83;200.09
V37;1726.87;210.0
V38;2191.87;210.0
V39;1332.0;210.0
V40;-806.33;193.67
V41;817.0;210.0
