VESSELfrom_VESSELto;V2;V26;V0;V16;V41;V34;V32;V11;V13;V18;V37;V36;V7;V27;V12;V21;V15;V30;V29;V6;V40;V5;V3;V25;V24;V19;V39;V14;V4;V38;V8;V31;V23;V28;V35;V10;V17;V33;V9;V1;V22;V20
V2;;68;12;19;36;10;8;12;12;8;7;2;27;13;11;14;;;3;23;;6;1;46;36;7;;;1;;1;1;11;;7;4;;;;;79;1
V26;1;;;;;10;1;5;;;1;22;;36;5;2;;1;14;8;13;18;;29;;37;60;95;97;15;2;2;;10;;;62;18;16;4;60;
V0;22;;;;;;;;;;;63;;54;1;1;36;52;40;11;64;28;26;4;;41;14;70;85;38;1;2;15;3;;;26;31;43;13;13;
V16;22;;;;;;;1;;1;4;68;1;49;;;154;67;63;1;170;202;5;16;;3;45;52;45;20;11;11;45;46;;;34;43;37;28;30;
V41;4;;8;10;;6;1;49;;1;;98;1;106;2;1;48;195;125;4;2;209;2;;10;41;40;45;145;28;10;8;24;28;;2;48;35;18;8;81;
V34;7;;;;;;;;;;;34;;4;;;22;26;16;;42;33;11;1;;4;28;49;34;5;2;14;20;157;;;42;16;25;4;36;
V32;7;;;;;;;;;;;38;;3;;;92;12;12;;2;36;53;2;;;6;2;7;8;14;;5;13;;;18;24;6;3;2;
V11;1;;;;;;;;;;;77;;3;;;43;69;44;;10;55;66;1;;2;15;15;78;6;3;5;15;24;;;17;5;15;3;11;
V13;5;;;1;;;;;;;;38;;4;;;11;53;21;;19;42;1;14;;24;3;20;32;7;2;1;13;23;;;6;1;14;32;17;
V18;11;;;;;;;;;;;42;;9;;;78;50;39;;40;50;12;4;;14;8;74;75;18;2;3;5;23;;;24;11;4;6;39;
V37;4;;3;1;;;;;;3;;42;;6;3;7;24;54;18;5;2;34;5;1;;5;21;42;7;21;;;6;13;;;4;8;20;30;8;
V36;;4;2;8;16;11;16;25;10;8;10;;19;;7;10;1;;;17;;;2;16;2;;;35;12;;;;5;;3;6;;;;;6;1
V7;1;;;;;2;;4;1;1;;;;23;1;2;;5;1;2;;46;;1;9;;13;2;15;10;1;;;;;;1;20;;;30;
V27;1;15;;4;1;;;2;;;1;;;;;;4;7;6;2;3;2;8;1;3;;;28;;1;22;1;;1;6;1;1;1;5;2;20;
V12;3;;;1;;;1;;;;1;15;;3;;;14;24;17;;2;28;5;;;1;13;40;40;7;;;2;6;;;3;22;15;;13;
V21;1;;;1;1;;;;;;;11;;1;;;8;16;10;;4;1;12;;1;8;9;24;28;;;2;1;6;;;3;26;26;1;1;
V15;;19;115;75;26;34;72;112;60;46;52;3;24;;5;2;;;;27;;;;14;119;;;8;10;;;;;;15;19;;;;9;;5
V30;3;50;60;44;229;45;21;15;59;32;37;19;35;73;28;13;18;;45;64;1;137;7;54;42;;2;85;113;2;10;28;160;3;73;10;1;;21;13;218;
V29;14;54;15;25;69;26;7;55;29;18;23;2;13;30;13;8;8;20;;28;;2;1;24;14;;3;163;42;;29;1;27;;41;15;1;1;71;;154;2
V6;4;;;2;1;1;1;1;1;1;1;4;;13;;;4;7;5;;;11;7;1;;;11;55;47;6;;;3;20;1;;16;77;40;17;13;
V40;;5;15;58;20;16;17;16;12;15;12;;4;1;5;8;;;;10;;26;;33;1;13;;;1;;2;1;6;65;;12;;;1;;41;
V5;;59;3;47;65;23;13;28;10;35;30;10;2;237;57;35;;3;;99;;;;23;1;1;3;5;3;;77;5;3;18;25;118;;1;7;12;27;4
V3;;12;42;127;157;72;123;281;83;66;90;78;187;;14;18;4;;;83;;;;60;146;;2;169;16;;;;;1;55;43;;;;1;;3
V25;3;23;14;2;33;12;4;13;4;4;1;27;2;39;4;3;2;67;2;7;;55;1;;4;;69;37;131;4;13;;11;1;5;2;;8;;1;9;2
V24;5;19;;12;;;;16;;;;1;;26;;;46;2;2;1;1;23;18;1;;;6;19;36;;8;3;3;3;3;8;1;1;8;3;3;
V19;7;7;;6;4;11;2;4;1;6;1;1;1;;2;;13;74;7;12;;;7;1;5;;;;;;8;5;5;20;2;1;;;171;63;2;
V39;;23;3;11;30;21;25;7;14;7;19;5;;;8;12;30;;2;17;2;40;27;35;24;21;;2;17;11;1;2;6;;;7;;116;299;41;;
V14;24;52;;10;16;19;25;52;9;25;15;9;;2;6;22;129;65;163;13;1;24;91;168;65;6;48;;37;1;11;7;21;1;2;17;4;17;338;80;;6
V4;1;44;;40;57;13;31;28;13;2;2;17;141;1;1;2;37;1;9;7;4;106;11;81;24;;2;9;;20;55;;2;1;6;4;23;53;146;40;;
V20;;;;;;;;;;;;1;;;;;1;;1;;;;2;;;1;;6;;;;;;1;;;2;;;;;
V38;4;14;3;24;83;132;10;26;43;25;10;;39;42;6;25;1;;;65;;1;6;26;34;;;10;3;19;;;;;3;4;3;2;7;1;37;1
V8;27;3;6;14;2;10;5;4;1;6;1;121;2;15;2;;97;24;23;;22;32;32;;26;;7;1;1;3;1;;1;;;1;;14;53;4;45;
