Name;ContainerType;FlowType;Capacity;X_Cord;Y_Cord
YB0;REEFER;MIX;142;-747.0;461.0;
YB1;REEFER;MIX;133;-748.0;476.0;
YB2;REEFER;MIX;135;-746.0;507.0;
YB3;REEFER;MIX;128;-747.0;522.0;
YB4;REEFER;MIX;140;-745.0;554.0;
YB5;REEFER;MIX;128;-747.0;569.0;
YB6;REEFER;MIX;158;3478.0;437.0;
YB7;REEFER;MIX;171;3476.0;452.0;
YB8;REEFER;MIX;148;3466.0;484.0;
YB9;REEFER;MIX;135;3463.0;499.0;
YB10;REEFER;MIX;117;3451.0;531.0;
YB11;REEFER;MIX;113;3450.0;547.0;
YB12;REEFER;MIX;90;3439.0;580.0;
YB13;REEFER;MIX;88;3437.0;595.0;
YB14;REEFER;MIX;88;1620.0;568.0;
YB15;REEFER;MIX;91;1635.0;570.0;
YB16;REEFER;MIX;88;1666.0;568.0;
YB17;REEFER;MIX;91;1681.0;570.0;
YB18;REEFER;MIX;89;1712.0;568.0;
YB19;REEFER;MIX;90;1728.0;570.0;
YB20;REEFER;MIX;68;1760.0;568.0;
YB21;REEFER;MIX;93;1776.0;570.0;
YB22;REEFER;MIX;68;1808.0;568.0;
YB23;REEFER;MIX;91;1825.0;570.0;
YB24;REEFER;MIX;88;1858.0;572.0;
YB25;REEFER;MIX;91;1873.0;574.0;
YB26;REEFER;MIX;89;1904.0;572.0;
YB27;REEFER;MIX;88;1920.0;574.0;
YB28;REEFER;MIX;88;455.0;613.0;
YB29;REEFER;MIX;90;471.0;615.0;
YB30;REEFER;MIX;86;502.0;613.0;
YB31;REEFER;MIX;91;517.0;615.0;
YB32;REEFER;MIX;89;548.0;613.0;
YB33;REEFER;MIX;93;563.0;615.0;
YB34;REEFER;MIX;88;595.0;613.0;
YB35;REEFER;MIX;89;610.0;615.0;
YB36;FULL;EXPORT;458;-1246.0;331.0;
YB37;FULL;EXPORT;460;-1182.0;329.0;
YB38;FULL;EXPORT;315;-1099.0;328.0;
YB39;FULL;EXPORT;650;-1030.0;326.0;
YB40;FULL;EXPORT;378;-937.0;324.0;
YB41;FULL;EXPORT;564;-866.0;323.0;
YB42;FULL;EXPORT;650;-774.0;321.0;
YB43;FULL;EXPORT;478;-681.0;320.0;
YB44;FULL;EXPORT;403;665.0;338.48;
YB45;FULL;EXPORT;403;730.0;338.48;
YB46;FULL;EXPORT;598;823.0;338.48;
YB47;FULL;EXPORT;598;907.0;338.48;
YB48;FULL;EXPORT;633;1011.0;338.48;
YB49;FULL;EXPORT;633;1094.0;338.48;
YB50;FULL;EXPORT;612;1199.0;338.48;
YB51;FULL;EXPORT;612;1284.0;338.48;
YB52;FULL;EXPORT;574;1392.0;338.48;
YB53;FULL;EXPORT;650;1490.0;338.48;
YB54;FULL;EXPORT;431;1556.0;338.48;
YB55;FULL;EXPORT;260;1615.0;338.48;
